label	readable
DEGRE=c	comparatif ADVgen
DEGRE=-	non applicable ADVgen
DEGRE=p	positif ADVgen
DEGRE=s	superlatif ADVgen
MODE=con|PERS.=1|NOMB.=p	conditionnel 1re personne pluriel
MODE=con|PERS.=1|NOMB.=s	conditionnel 1re personne singulier
MODE=con|PERS.=2|NOMB.=p	conditionnel 2e personne pluriel
MODE=con|PERS.=2|NOMB.=s	conditionnel 2e personne singulier
MODE=con|PERS.=3|NOMB.=p	conditionnel 3e personne pluriel
MODE=con|PERS.=3|NOMB.=s	conditionnel 3e personne singulier
MODE=imp|PERS.=1|NOMB.=p	impératif 1re personne pluriel
MODE=imp|PERS.=2|NOMB.=p	impératif 2e personne pluriel
MODE=imp|PERS.=2|NOMB.=s	impératif 2e personne singulier
MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p	indicatif futur 1re personne pluriel
MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	indicatif futur 1re personne singulier
MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	indicatif futur 2e personne pluriel
MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s	indicatif futur 2e personne singulier
MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p	indicatif futur 3e personne pluriel
MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	indicatif futur 3e personne singulier
MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=p	indicatif imparfait 1re personne pluriel
MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s	indicatif imparfait 1re personne singulier
MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=p	indicatif imparfait 2e personne pluriel
MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=s	indicatif imparfait 2e personne singulier
MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	indicatif imparfait 3e personne pluriel
MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	indicatif imparfait 3e personne singulier
MODE=ind|TEMPS=psp|PERS.=1|NOMB.=p	indicatif passé simple 1re personne pluriel
MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	indicatif passé simple 1re personne singulier
MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p	indicatif passé simple 2e personne pluriel
MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s	indicatif passé simple 2e personne singulier
MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	indicatif passé simple 3e personne pluriel
MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	indicatif passé simple 3e personne singulier
MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p	indicatif présent 1re personne pluriel
MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	indicatif présent 1re personne singulier
MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	indicatif présent 2e personne pluriel
MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s	indicatif présent 2e personne singulier
